id,wait,Usage
1035,20.0,Public
1036,10.0,Public
1037,60.0,Public
1038,13.0,Public
1039,10.0,Public
1040,120.0,Public
1041,180.0,Public
1042,90.0,Public
1043,38.0,Public
1044,235.0,Public
1045,5.0,Public
1046,22.0,Public
1047,60.0,Public
1048,13.0,Public
1049,180.0,Public
1050,15.0,Public
1051,60.0,Public
1052,20.0,Public
1053,13.333333333333334,Public
1054,20.0,Public
1055,11.0,Public
1056,15.0,Public
1057,45.0,Public
1058,395.0,Public
1059,10.0,Public
1060,45.0,Public
1061,4.0,Public
1062,15.0,Public
1063,15.0,Public
1064,12.0,Public
1065,12.0,Public
1066,33.0,Public
1067,37.5,Public
1068,120.0,Public
1069,24.0,Public
1070,98.0,Public
1071,10.0,Public
1072,240.0,Public
1073,5.0,Public
1074,75.0,Public
1075,38.0,Public
1076,5.0,Public
1077,122.0,Public
1078,4.0,Public
1079,10.0,Public
1080,120.0,Public
1081,15.0,Public
1082,150.0,Public
1083,15.0,Public
1084,45.0,Public
1085,45.0,Public
1086,32.0,Public
1087,60.0,Public
1088,29.0,Public
1089,45.0,Public
1090,10.0,Public
1091,45.0,Public
1092,13.0,Public
1093,14.0,Public
1094,23.0,Public
1095,20.0,Public
1096,20.0,Public
1097,20.0,Public
1098,10.0,Public
1099,20.0,Public
1100,25.0,Public
1101,25.0,Public
1102,19.0,Public
1103,10.0,Public
1104,90.0,Public
1105,20.0,Public
1106,5.0,Public
1107,83.0,Public
1108,10.0,Public
1109,3.0,Public
1110,45.0,Public
1111,10.0,Public
1112,45.0,Public
1113,18.33333333333333,Public
1114,10.0,Public
1115,10.0,Public
1116,20.0,Public
1117,15.0,Public
1118,3.0,Public
1119,18.0,Public
1120,15.0,Public
1121,53.0,Public
1122,15.0,Public
1123,10.0,Public
1124,27.0,Public
1125,5.0,Public
1126,60.0,Public
1127,20.0,Public
1128,60.0,Public
1129,20.0,Public
1130,84.5,Public
1131,5.0,Public
1132,4.5,Public
1133,40.0,Public
1134,20.0,Public
1135,240.0,Public
1136,15.0,Public
1137,5.0,Public
1138,20.0,Public
1139,60.0,Public
1140,15.0,Public
1141,10.0,Public
1142,15.0,Public
1143,5946.0,Public
1144,3.0,Public
1145,8.0,Public
1146,1.0,Public
1147,120.0,Public
1148,16.0,Public
1149,45.0,Public
1150,180.0,Public
1151,5.0,Public
1152,10.0,Public
1153,35.0,Public
1154,10.0,Public
1155,21.0,Public
1156,1.0,Public
1157,100.0,Public
1158,15.0,Public
1159,10.0,Public
1160,54.0,Public
1161,25.0,Public
1162,10.0,Public
1163,10.0,Public
1164,10.0,Public
1165,75.0,Public
1166,23.0,Public
1167,5.0,Public
1168,17.0,Public
1169,15.0,Public
1170,30.0,Public
1171,5.0,Public
1172,15.0,Public
1173,15.0,Public
1174,150.0,Public
1175,10.0,Public
1176,5.0,Public
1177,75.0,Public
1178,2.0,Public
1179,15.0,Public
1180,20.0,Public
1181,30.0,Public
1182,5.0,Public
1183,60.0,Public
1184,10.0,Public
1185,15.0,Public
1186,30.0,Public
1187,220.0,Public
1188,180.0,Public
1189,10.0,Public
1190,10.0,Public
1191,10.0,Public
1192,60.0,Public
1193,10.0,Public
1194,180.0,Public
1195,15.0,Public
1196,5.0,Public
1197,20.0,Public
1198,60.0,Public
1199,10.0,Public
1200,30.0,Public
1201,41.0,Public
1202,5.0,Public
1203,10.0,Public
1204,60.0,Public
1205,20.0,Public
1206,6.0,Public
1207,10.0,Public
1208,85.0,Public
1209,10.0,Public
1210,30.0,Public
1211,10.0,Public
1212,12.0,Public
1213,27.0,Public
1214,13.0,Public
1215,30.0,Public
1216,120.0,Public
1217,30.0,Public
1218,20.0,Public
1219,200.0,Public
1220,5.0,Public
1221,42.66666666666666,Public
1222,10.0,Public
1223,5.0,Public
1224,68.0,Public
1225,13.0,Public
1226,10.0,Public
1227,15.0,Public
1228,15.0,Public
1229,451.0,Public
1230,18.0,Public
1231,45.0,Public
1232,30.0,Public
1233,31.0,Public
1234,27.5,Public
1235,10.0,Public
1236,71.0,Public
1237,8.0,Public
1238,15.0,Public
1239,195.0,Public
1240,5.0,Public
1241,5.0,Public
1242,33.0,Public
1243,11.0,Public
1244,30.0,Public
1245,20.0,Public
1246,5.0,Public
1247,13.0,Public
1248,20.0,Public
1249,16.0,Public
1250,4.0,Public
1251,10.0,Public
1252,105.0,Public
1253,1.0,Public
1254,15.0,Public
1255,50.0,Public
1256,38.0,Public
1257,30.0,Public
1258,15.0,Public
1259,20.0,Public
1260,80.0,Public
1261,93.0,Public
1262,97.0,Public
1263,63.0,Public
1264,38.0,Public
1265,5.0,Public
1266,23.0,Public
1267,20.0,Public
1268,5.0,Public
1269,15.0,Public
1270,15.0,Public
1271,2.0,Public
1272,10.0,Public
1273,45.0,Public
1274,20.0,Public
1275,30.0,Public
1276,9.0,Public
1277,15.0,Public
1278,5.0,Public
1279,13.0,Public
1280,5.0,Public
1281,8.0,Public
1282,20.0,Public
1283,8.0,Public
1284,5.0,Public
1285,5.0,Public
1286,135.0,Public
1287,10.0,Public
1288,15.0,Public
1289,10.0,Public
1290,5.0,Public
1291,60.0,Public
1292,20.0,Public
1293,30.0,Public
1294,23.33333333333333,Public
1295,120.0,Public
1296,5.0,Public
1297,114.0,Public
1298,10.0,Public
1299,56.0,Public
1300,13.0,Public
1301,30.0,Public
1302,40.0,Public
1303,5.0,Public
1304,57.5,Public
1305,210.0,Public
1306,180.0,Public
1307,140.0,Public
1308,60.0,Public
1309,45.0,Public
1310,12.0,Public
1311,16.0,Public
1312,5.0,Public
1313,20.0,Public
1314,45.0,Public
1315,10.0,Public
1316,4.0,Public
1317,635.0,Public
1318,10.0,Public
1319,17.0,Public
1320,20.0,Public
1321,33.0,Public
1322,10.0,Public
1323,20.0,Public
1324,45.0,Public
1325,90.0,Public
1326,5.0,Public
1327,10.0,Public
1328,14.0,Public
1329,37.0,Public
1330,13.0,Public
1331,13.0,Public
1332,36.5,Public
1333,33.0,Public
1334,45.0,Public
1335,10.0,Public
1336,5.0,Public
1337,30.0,Public
1338,25.0,Public
1339,5.0,Public
1340,15.0,Public
1341,5.0,Public
1342,60.0,Public
1343,10.0,Public
1344,13.0,Public
1345,5.0,Public
1346,60.0,Public
1347,9.0,Public
1348,30.0,Public
1349,5.0,Public
1350,1.0,Public
1351,5.0,Public
1352,60.0,Public
1353,20.0,Public
1354,23.0,Public
1355,18.0,Public
1356,5.0,Public
1357,60.0,Public
1358,15.0,Public
1359,95.0,Public
1360,10.0,Public
1361,15.0,Public
1362,25.0,Public
1363,30.0,Public
1364,20.0,Public
1365,15.0,Public
1366,20.0,Public
1367,30.0,Public
1368,7.0,Public
1369,44.75,Public
1370,44.333333333333336,Public
1371,30.0,Public
1372,43.0,Public
1373,45.0,Public
1374,30.0,Public
1375,49.0,Public
1376,30.0,Public
1377,10.0,Public
1378,93.0,Public
1379,20.0,Public
1380,90.0,Public
1381,15.0,Public
1382,163.0,Public
1383,10.0,Public
1384,60.0,Public
1385,90.0,Public
1386,20.0,Public
1387,10.0,Public
1388,20.0,Public
1389,10.0,Public
1390,25.0,Public
1391,23.0,Public
1392,23.666666666666668,Public
1393,20.0,Public
1394,10.0,Public
1395,28.0,Public
1396,20.0,Public
1397,25.0,Public
1398,70.0,Public
1399,15.0,Public
1400,15.0,Public
1401,0.0,Public
1402,7.0,Public
1403,90.0,Public
1404,5.0,Public
1405,23.0,Public
1406,10.0,Public
1407,10.0,Public
1408,136.0,Public
1409,25.0,Public
1410,180.0,Public
1411,8.0,Public
1412,15.0,Public
1413,9.0,Public
1414,10.0,Public
1415,5.0,Public
1416,98.0,Public
1417,14.5,Public
1418,60.0,Public
1419,5.0,Public
1420,65.0,Public
1421,60.0,Public
1422,30.0,Public
1423,23.0,Public
1424,69.0,Public
1425,30.0,Public
1426,20.0,Public
1427,60.0,Public
1428,30.0,Public
1429,25.0,Public
1430,12.0,Public
1431,45.0,Public
1432,20.0,Public
1433,90.0,Public
1434,45.0,Public
1435,12.666666666666666,Public
1436,17.0,Public
1437,15.0,Public
1438,5.0,Public
1439,15.0,Public
1440,20.0,Public
1441,5.0,Public
1442,30.0,Public
1443,90.0,Public
1444,10.0,Public
1445,40.0,Public
1446,15.0,Public
1447,15.0,Public
1448,13.0,Public
1449,30.0,Public
1450,18.0,Public
1451,145.0,Public
1452,15.0,Public
1453,34.75,Public
1454,15.0,Public
1455,5.0,Public
1456,20.0,Public
1457,25.0,Public
1458,3.0,Public
1459,7.5,Public
1460,225.0,Public
1461,10.0,Public
1462,20.0,Public
1463,25.0,Public
1464,165.0,Public
1465,25.33333333333333,Public
1466,10.0,Public
1467,15.0,Public
1468,2.0,Public
1469,23.0,Public
1470,87.5,Public
1471,70.0,Public
1472,75.0,Public
1473,40.0,Public
1474,25.0,Public
1475,70.0,Public
1476,20.0,Public
1477,20.0,Public
1478,15.0,Public
1479,20.0,Public
1480,180.0,Public
1481,30.0,Public
1482,25.0,Public
1483,278.0,Public
1484,15.0,Public
1485,60.0,Public
1486,10.0,Public
